drug_name,dosage_name,is_specialty
Abilify Asimtufii,Abilify Asimtufii INJ 720MG/2.4ML,False
Abilify Asimtufii,Abilify Asimtufii INJ 960MG/3.2ML,False
Abilify Maintena,Abilify Maintena Prefilled SYR KIT 300MG,False
Abilify Maintena,Abilify Maintena INJ 400MG,False
Abilify Maintena,Abilify Maintena INJ 300MG,False
Abilify Maintena,Abilify Maintena Prefilled SYR KIT 400MG,False
Abilify Mycite Maintenance Kit,Abilify Mycite Maintenance Kit TAB 30MG,False
Abiraterone Acetate,Abiraterone Acetate TAB 250MG,False
Abiraterone Acetate,Abiraterone Acetate TAB 500MG,False
Abirtega,Abirtega TAB 250MG,False
Abraxane,Abraxane SUSP 100MG,False
Abrilada,Abrilada AUTO-INJ KIT 40MG/0.8ML,False
Abrilada,Abrilada SYR KIT 20MG/0.4ML,False
Abrysvo,Abrysvo SOLN 120MCG/0.5ML,False
Acamprosate Calcium,Acamprosate Calcium TAB 333MG,False
Acarbose,Acarbose TAB 100MG,False
Acarbose,Acarbose TAB 25MG,False
Acarbose,Acarbose TAB 50MG,False
Accrufer,Accrufer CAP 30MG,False
Accupril,Accupril TAB 20MG,False
Accuretic,Accuretic TAB 10-12.5MG,False
Accutane,Accutane CAP 30MG,False
Acebutolol HCL,Acebutolol HCL CAP 200MG,False
Acebutolol HCL,Acebutolol HCL CAP 400MG,False
Acetaminophen-Codeine,Acetaminophen-Codeine TAB 300-60MG,False
Acetaminophen-Codeine,Acetaminophen-Codeine TAB 300-15MG,False
Acetaminophen-Codeine,Acetaminophen-Codeine TAB 300-30MG,False
Acetaminophen-Codeine,Acetaminophen-Codeine SOLN 120-12MG/5ML,False
Acetazolamide,Acetazolamide TAB 250MG,False
Acetazolamide,Acetazolamide TAB 125MG,False
Acetazolamide,Acetazolamide ER CAP 500MG,False
Acetazolamide Sodium,Acetazolamide Sodium SOLN 500MG,False
Acetic Acid,Acetic Acid SOLN 2%,False
Acetylcysteine,Acetylcysteine SOLN 20%,False
Acetylcysteine,Acetylcysteine SOLN 10%,False
Acetylcysteine,Acetylcysteine SOLN 200MG/ML,False
Aciphex,Aciphex TAB 20MG,False
Aciphex Sprinkle,Aciphex Sprinkle CAP 5MG,False
Acitretin,Acitretin CAP 25MG,False
Acitretin,Acitretin CAP 10MG,False
